Properties file,VBM diagnosis size=1,VBM diagnosis amount (size=1),VBM diagnosis size=2,VBM diagnosis amount (size=2),VBM diagnosis size=3,VBM diagnosis amount (size=3),DBM diagnosis size=1,DBM diagnosis amount (size=1),DBM diagnosis size=2,DBM diagnosis amount (size=2),DBM diagnosis size=3,DBM diagnosis amount (size=3),CBM diagnosis size=1,CBM diagnosis amount (size=1),CBM diagnosis size=2,CBM diagnosis amount (size=2),CBM diagnosis size=3,CBM diagnosis amount (size=3),diag VBM,diag DBM,diag CBM,All VBM containd in DBM,All VBM containd in CBM,True fault in VBM,True fault in DBM,True fault in CBM,VBM time [ms] (diagnosis size=1),VBM time [ms] (diagnosis size=2),VBM time [ms] (diagnosis size=3),DBM time [ms] (diagnosis size=1),DBM time [ms] (diagnosis size=2),DBM time [ms] (diagnosis size=3),CBM time [ms] (diagnosis size=1),CBM time [ms] (diagnosis size=2),CBM time [ms] (diagnosis size=3),Incorrect Output cells,Correct Output cells,Faulty cells,Column1
 circuit10_10_1FAULTS_FAULTVERSION1,"(Sheet1!F6),(Sheet1!F9)",2,"(Sheet1!D2,Sheet1!D9),(Sheet1!D3,Sheet1!D9),(Sheet1!D4,Sheet1!D9),(Sheet1!D5,Sheet1!D9),(Sheet1!D6,Sheet1!D9),(Sheet1!D7,Sheet1!D9),(Sheet1!D8,Sheet1!D9),(Sheet1!D2,Sheet1!D10),(Sheet1!D3,Sheet1!D10),(Sheet1!D4,Sheet1!D10),(Sheet1!D5,Sheet1!D10),(Sheet1!D10,Sheet1!D6),(Sheet1!D10,Sheet1!D7),(Sheet1!D10,Sheet1!D8),(Sheet1!D10,Sheet1!D9),(Sheet1!D10,Sheet1!D11),(Sheet1!D11,Sheet1!D9),(Sheet1!D12,Sheet1!D13),(Sheet1!D13,Sheet1!H2),(Sheet1!D13,Sheet1!H3),(Sheet1!D13,Sheet1!H4),(Sheet1!H6,Sheet1!D13),(Sheet1!D13,Sheet1!H9),(Sheet1!H11,Sheet1!D13),(Sheet1!F2,Sheet1!F3),(Sheet1!F2,Sheet1!F4),(Sheet1!F2,Sheet1!F5),(Sheet1!F2,Sheet1!F7),(Sheet1!F2,Sheet1!F8),(Sheet1!F3,Sheet1!F4),(Sheet1!F3,Sheet1!F5),(Sheet1!F3,Sheet1!F7),(Sheet1!F3,Sheet1!F8),(Sheet1!F4,Sheet1!F5),(Sheet1!F4,Sheet1!F7),(Sheet1!F8,Sheet1!F4),(Sheet1!F5,Sheet1!F7),(Sheet1!F8,Sheet1!F5),(Sheet1!F8,Sheet1!F7),(Sheet1!F10,Sheet1!F2),(Sheet1!F10,Sheet1!F3),(Sheet1!F10,Sheet1!F4),(Sheet1!F10,Sheet1!F5),(Sheet1!F10,Sheet1!F7),(Sheet1!F10,Sheet1!F8),(Sheet1!F10,Sheet1!F11),(Sheet1!F2,Sheet1!F11),(Sheet1!F3,Sheet1!F11),(Sheet1!F11,Sheet1!F4),(Sheet1!F11,Sheet1!F5),(Sheet1!F11,Sheet1!F7),(Sheet1!F11,Sheet1!F8)",52,timeout,timeout,"(Sheet1!F2),(Sheet1!F3),(Sheet1!F4),(Sheet1!F5),(Sheet1!F6),(Sheet1!F7),(Sheet1!F8),(Sheet1!F9),(Sheet1!F10),(Sheet1!F11)",10,"(Sheet1!D2,Sheet1!D3),(Sheet1!D2,Sheet1!D4),(Sheet1!D2,Sheet1!D5),(Sheet1!D2,Sheet1!D6),(Sheet1!D2,Sheet1!D7),(Sheet1!D2,Sheet1!D8),(Sheet1!D2,Sheet1!D9),(Sheet1!D3,Sheet1!D4),(Sheet1!D3,Sheet1!D5),(Sheet1!D3,Sheet1!D6),(Sheet1!D3,Sheet1!D7),(Sheet1!D3,Sheet1!D8),(Sheet1!D3,Sheet1!D9),(Sheet1!D4,Sheet1!D5),(Sheet1!D4,Sheet1!D6),(Sheet1!D4,Sheet1!D7),(Sheet1!D4,Sheet1!D8),(Sheet1!D4,Sheet1!D9),(Sheet1!D5,Sheet1!D6),(Sheet1!D5,Sheet1!D7),(Sheet1!D5,Sheet1!D8),(Sheet1!D5,Sheet1!D9),(Sheet1!D6,Sheet1!D7),(Sheet1!D6,Sheet1!D8),(Sheet1!D6,Sheet1!D9),(Sheet1!D7,Sheet1!D8),(Sheet1!D7,Sheet1!D9),(Sheet1!D8,Sheet1!D9),(Sheet1!D2,Sheet1!D10),(Sheet1!D3,Sheet1!D10),(Sheet1!D4,Sheet1!D10),(Sheet1!D5,Sheet1!D10),(Sheet1!D10,Sheet1!D6),(Sheet1!D10,Sheet1!D7),(Sheet1!D10,Sheet1!D8),(Sheet1!D10,Sheet1!D9),(Sheet1!D10,Sheet1!D11),(Sheet1!D10,Sheet1!D14),(Sheet1!D2,Sheet1!D11),(Sheet1!D3,Sheet1!D11),(Sheet1!D4,Sheet1!D11),(Sheet1!D5,Sheet1!D11),(Sheet1!D11,Sheet1!D6),(Sheet1!D11,Sheet1!D7),(Sheet1!D11,Sheet1!D8),(Sheet1!D11,Sheet1!D9),(Sheet1!D11,Sheet1!D14),(Sheet1!D12,Sheet1!D13),(Sheet1!D13,Sheet1!H2),(Sheet1!D13,Sheet1!H3),(Sheet1!D13,Sheet1!H4),(Sheet1!D13,Sheet1!H5),(Sheet1!H6,Sheet1!D13),(Sheet1!D13,Sheet1!H7),(Sheet1!D13,Sheet1!H8),(Sheet1!D13,Sheet1!H9),(Sheet1!H10,Sheet1!D13),(Sheet1!H11,Sheet1!D13),(Sheet1!D2,Sheet1!D14),(Sheet1!D3,Sheet1!D14),(Sheet1!D4,Sheet1!D14),(Sheet1!D5,Sheet1!D14),(Sheet1!D14,Sheet1!D6),(Sheet1!D14,Sheet1!D7),(Sheet1!D14,Sheet1!D8),(Sheet1!D14,Sheet1!D9)",66,-,0,"(Sheet1!F2),(Sheet1!F3),(Sheet1!F4),(Sheet1!F5),(Sheet1!F6),(Sheet1!F7),(Sheet1!F8),(Sheet1!F9),(Sheet1!F10),(Sheet1!F11)",10,"(Sheet1!D2,Sheet1!D3),(Sheet1!D2,Sheet1!D4),(Sheet1!D2,Sheet1!D5),(Sheet1!D2,Sheet1!D6),(Sheet1!D2,Sheet1!D7),(Sheet1!D2,Sheet1!D8),(Sheet1!D2,Sheet1!D9),(Sheet1!D3,Sheet1!D4),(Sheet1!D3,Sheet1!D5),(Sheet1!D3,Sheet1!D6),(Sheet1!D3,Sheet1!D7),(Sheet1!D3,Sheet1!D8),(Sheet1!D3,Sheet1!D9),(Sheet1!D4,Sheet1!D5),(Sheet1!D4,Sheet1!D6),(Sheet1!D4,Sheet1!D7),(Sheet1!D4,Sheet1!D8),(Sheet1!D4,Sheet1!D9),(Sheet1!D5,Sheet1!D6),(Sheet1!D5,Sheet1!D7),(Sheet1!D5,Sheet1!D8),(Sheet1!D5,Sheet1!D9),(Sheet1!D6,Sheet1!D7),(Sheet1!D6,Sheet1!D8),(Sheet1!D6,Sheet1!D9),(Sheet1!D7,Sheet1!D8),(Sheet1!D7,Sheet1!D9),(Sheet1!D8,Sheet1!D9),(Sheet1!D2,Sheet1!D10),(Sheet1!D3,Sheet1!D10),(Sheet1!D4,Sheet1!D10),(Sheet1!D5,Sheet1!D10),(Sheet1!D10,Sheet1!D6),(Sheet1!D10,Sheet1!D7),(Sheet1!D10,Sheet1!D8),(Sheet1!D10,Sheet1!D9),(Sheet1!D10,Sheet1!D11),(Sheet1!D10,Sheet1!D14),(Sheet1!D2,Sheet1!D11),(Sheet1!D3,Sheet1!D11),(Sheet1!D4,Sheet1!D11),(Sheet1!D5,Sheet1!D11),(Sheet1!D11,Sheet1!D6),(Sheet1!D11,Sheet1!D7),(Sheet1!D11,Sheet1!D8),(Sheet1!D11,Sheet1!D9),(Sheet1!D11,Sheet1!D14),(Sheet1!D12,Sheet1!D13),(Sheet1!D13,Sheet1!H2),(Sheet1!D13,Sheet1!H3),(Sheet1!D13,Sheet1!H4),(Sheet1!D13,Sheet1!H5),(Sheet1!H6,Sheet1!D13),(Sheet1!D13,Sheet1!H7),(Sheet1!D13,Sheet1!H8),(Sheet1!D13,Sheet1!H9),(Sheet1!H10,Sheet1!D13),(Sheet1!H11,Sheet1!D13),(Sheet1!D2,Sheet1!D14),(Sheet1!D3,Sheet1!D14),(Sheet1!D4,Sheet1!D14),(Sheet1!D5,Sheet1!D14),(Sheet1!D14,Sheet1!D6),(Sheet1!D14,Sheet1!D7),(Sheet1!D14,Sheet1!D8),(Sheet1!D14,Sheet1!D9)",66,-,0,54,76,76,TRUE,TRUE,TRUE,TRUE,TRUE,897,12718,timeout,41,40,92,34,65,87,2,1,1,
 circuit10_10_1FAULTS_FAULTVERSION2,(Sheet1!D10),1,"(Sheet1!D2,Sheet1!D3),(Sheet1!D2,Sheet1!D4),(Sheet1!D2,Sheet1!D5),(Sheet1!D2,Sheet1!D6),(Sheet1!D2,Sheet1!D7),(Sheet1!D2,Sheet1!D8),(Sheet1!D2,Sheet1!D9),(Sheet1!D3,Sheet1!D4),(Sheet1!D3,Sheet1!D5),(Sheet1!D3,Sheet1!D6),(Sheet1!D3,Sheet1!D7),(Sheet1!D3,Sheet1!D8),(Sheet1!D3,Sheet1!D9),(Sheet1!D4,Sheet1!D5),(Sheet1!D4,Sheet1!D6),(Sheet1!D4,Sheet1!D7),(Sheet1!D4,Sheet1!D8),(Sheet1!D4,Sheet1!D9),(Sheet1!D5,Sheet1!D6),(Sheet1!D5,Sheet1!D7),(Sheet1!D5,Sheet1!D8),(Sheet1!D5,Sheet1!D9),(Sheet1!D6,Sheet1!D7),(Sheet1!D6,Sheet1!D8),(Sheet1!D6,Sheet1!D9),(Sheet1!D7,Sheet1!D8),(Sheet1!D7,Sheet1!D9),(Sheet1!D8,Sheet1!D9),(Sheet1!D2,Sheet1!D11),(Sheet1!D3,Sheet1!D11),(Sheet1!D4,Sheet1!D11),(Sheet1!D5,Sheet1!D11),(Sheet1!D11,Sheet1!D6),(Sheet1!D11,Sheet1!D7),(Sheet1!D11,Sheet1!D8),(Sheet1!D11,Sheet1!D9)",36,"(Sheet1!D2,Sheet1!F2,Sheet1!F3),(Sheet1!D2,Sheet1!F2,Sheet1!F4),(Sheet1!D2,Sheet1!F2,Sheet1!F5),(Sheet1!D2,Sheet1!F2,Sheet1!F6),(Sheet1!D2,Sheet1!F2,Sheet1!F7),(Sheet1!D2,Sheet1!F2,Sheet1!F8),(Sheet1!D2,Sheet1!F2,Sheet1!F9),(Sheet1!D2,Sheet1!F10,Sheet1!F2),(Sheet1!D2,Sheet1!F2,Sheet1!F11),(Sheet1!D3,Sheet1!F2,Sheet1!F3),(Sheet1!D3,Sheet1!F3,Sheet1!F4),(Sheet1!D3,Sheet1!F3,Sheet1!F5),(Sheet1!D3,Sheet1!F3,Sheet1!F6),(Sheet1!D3,Sheet1!F3,Sheet1!F7),(Sheet1!D3,Sheet1!F3,Sheet1!F8),(Sheet1!D3,Sheet1!F3,Sheet1!F9),(Sheet1!D3,Sheet1!F10,Sheet1!F3),(Sheet1!D3,Sheet1!F3,Sheet1!F11),(Sheet1!D4,Sheet1!F2,Sheet1!F4),(Sheet1!D4,Sheet1!F3,Sheet1!F4),(Sheet1!D4,Sheet1!F4,Sheet1!F5),(Sheet1!D4,Sheet1!F4,Sheet1!F6),(Sheet1!D4,Sheet1!F4,Sheet1!F7),(Sheet1!D4,Sheet1!F8,Sheet1!F4),(Sheet1!D4,Sheet1!F9,Sheet1!F4),(Sheet1!D4,Sheet1!F10,Sheet1!F4),(Sheet1!D4,Sheet1!F11,Sheet1!F4),(Sheet1!F2,Sheet1!D5,Sheet1!F5),(Sheet1!F3,Sheet1!D5,Sheet1!F5),(Sheet1!D5,Sheet1!F4,Sheet1!F5),(Sheet1!D5,Sheet1!F5,Sheet1!F6),(Sheet1!D5,Sheet1!F5,Sheet1!F7),(Sheet1!D5,Sheet1!F8,Sheet1!F5),(Sheet1!D5,Sheet1!F9,Sheet1!F5),(Sheet1!F10,Sheet1!D5,Sheet1!F5),(Sheet1!D5,Sheet1!F11,Sheet1!F5),(Sheet1!F2,Sheet1!D6,Sheet1!F6),(Sheet1!F3,Sheet1!D6,Sheet1!F6),(Sheet1!F4,Sheet1!D6,Sheet1!F6),(Sheet1!D6,Sheet1!F5,Sheet1!F6),(Sheet1!D6,Sheet1!F6,Sheet1!F7),(Sheet1!F8,Sheet1!D6,Sheet1!F6),(Sheet1!F9,Sheet1!D6,Sheet1!F6),(Sheet1!F10,Sheet1!D6,Sheet1!F6),(Sheet1!F11,Sheet1!D6,Sheet1!F6),(Sheet1!H6,Sheet1!H2,Sheet1!D6),(Sheet1!H6,Sheet1!D6,Sheet1!H3),(Sheet1!H6,Sheet1!D6,Sheet1!H4),(Sheet1!H6,Sheet1!D6,Sheet1!H5),(Sheet1!H6,Sheet1!H7,Sheet1!D6),(Sheet1!H6,Sheet1!H8,Sheet1!D6),(Sheet1!H6,Sheet1!H9,Sheet1!D6),(Sheet1!H10,Sheet1!H6,Sheet1!D6),(Sheet1!H11,Sheet1!H6,Sheet1!D6),(Sheet1!F2,Sheet1!D7,Sheet1!F7),(Sheet1!F3,Sheet1!D7,Sheet1!F7),(Sheet1!F4,Sheet1!D7,Sheet1!F7),(Sheet1!F5,Sheet1!D7,Sheet1!F7),(Sheet1!D7,Sheet1!F6,Sheet1!F7),(Sheet1!F8,Sheet1!D7,Sheet1!F7),(Sheet1!F9,Sheet1!D7,Sheet1!F7),(Sheet1!F10,Sheet1!D7,Sheet1!F7),(Sheet1!F11,Sheet1!D7,Sheet1!F7),(Sheet1!F2,Sheet1!F8,Sheet1!D8),(Sheet1!F3,Sheet1!F8,Sheet1!D8),(Sheet1!F8,Sheet1!F4,Sheet1!D8),(Sheet1!F8,Sheet1!F5,Sheet1!D8),(Sheet1!F8,Sheet1!D8,Sheet1!F6),(Sheet1!F8,Sheet1!D8,Sheet1!F7),(Sheet1!F8,Sheet1!F9,Sheet1!D8),(Sheet1!F10,Sheet1!F8,Sheet1!D8),(Sheet1!F11,Sheet1!F8,Sheet1!D8),(Sheet1!F2,Sheet1!F9,Sheet1!D9),(Sheet1!F3,Sheet1!F9,Sheet1!D9),(Sheet1!F9,Sheet1!F4,Sheet1!D9),(Sheet1!F9,Sheet1!F5,Sheet1!D9),(Sheet1!F9,Sheet1!F6,Sheet1!D9),(Sheet1!F9,Sheet1!D9,Sheet1!F7),(Sheet1!F8,Sheet1!F9,Sheet1!D9),(Sheet1!F10,Sheet1!F9,Sheet1!D9),(Sheet1!F11,Sheet1!F9,Sheet1!D9),(Sheet1!F10,Sheet1!F11,Sheet1!D11),(Sheet1!F2,Sheet1!F11,Sheet1!D11),(Sheet1!F3,Sheet1!F11,Sheet1!D11),(Sheet1!F11,Sheet1!D11,Sheet1!F4),(Sheet1!F11,Sheet1!D11,Sheet1!F5),(Sheet1!F11,Sheet1!D11,Sheet1!F6),(Sheet1!F11,Sheet1!D11,Sheet1!F7),(Sheet1!F11,Sheet1!D11,Sheet1!F8),(Sheet1!F11,Sheet1!D11,Sheet1!F9),(Sheet1!D12,Sheet1!H6,Sheet1!D6),(Sheet1!D12,Sheet1!D14,Sheet1!D13),(Sheet1!D12,Sheet1!D14,Sheet1!F6),(Sheet1!F10,Sheet1!D12,Sheet1!D14),(Sheet1!F10,Sheet1!D14,Sheet1!D13),(Sheet1!H10,Sheet1!D14,Sheet1!D13),(Sheet1!D14,Sheet1!H2,Sheet1!F6),(Sheet1!D14,Sheet1!H3,Sheet1!F6),(Sheet1!D14,Sheet1!H4,Sheet1!F6),(Sheet1!D14,Sheet1!F6,Sheet1!H5),(Sheet1!D14,Sheet1!H7,Sheet1!F6),(Sheet1!D14,Sheet1!H8,Sheet1!F6),(Sheet1!D14,Sheet1!H9,Sheet1!F6),(Sheet1!H10,Sheet1!D14,Sheet1!F6),(Sheet1!H11,Sheet1!D14,Sheet1!F6),(Sheet1!F10,Sheet1!D14,Sheet1!H2),(Sheet1!F10,Sheet1!D14,Sheet1!H3),(Sheet1!F10,Sheet1!D14,Sheet1!H4),(Sheet1!F10,Sheet1!D14,Sheet1!H5),(Sheet1!F10,Sheet1!D14,Sheet1!H6),(Sheet1!F10,Sheet1!D14,Sheet1!H7),(Sheet1!F10,Sheet1!D14,Sheet1!H8),(Sheet1!F10,Sheet1!D14,Sheet1!H9),(Sheet1!F10,Sheet1!H10,Sheet1!D14),(Sheet1!H11,Sheet1!F10,Sheet1!D14)",115,"(Sheet1!D2),(Sheet1!D3),(Sheet1!D4),(Sheet1!D5),(Sheet1!D6),(Sheet1!D7),(Sheet1!D8),(Sheet1!D9),(Sheet1!D10),(Sheet1!D11)",10,"(Sheet1!F2,Sheet1!D14),(Sheet1!F3,Sheet1!D14),(Sheet1!D14,Sheet1!F4),(Sheet1!D14,Sheet1!F5),(Sheet1!D14,Sheet1!F6),(Sheet1!D14,Sheet1!F7),(Sheet1!D14,Sheet1!F8),(Sheet1!D14,Sheet1!F9),(Sheet1!F10,Sheet1!D14),(Sheet1!F11,Sheet1!D14)",10,"(Sheet1!D12,Sheet1!D14,Sheet1!D13),(Sheet1!D14,Sheet1!D13,Sheet1!H2),(Sheet1!D14,Sheet1!D13,Sheet1!H3),(Sheet1!D14,Sheet1!D13,Sheet1!H4),(Sheet1!D14,Sheet1!D13,Sheet1!H5),(Sheet1!D14,Sheet1!H6,Sheet1!D13),(Sheet1!D14,Sheet1!D13,Sheet1!H7),(Sheet1!D14,Sheet1!D13,Sheet1!H8),(Sheet1!D14,Sheet1!D13,Sheet1!H9),(Sheet1!H10,Sheet1!D14,Sheet1!D13),(Sheet1!H11,Sheet1!D14,Sheet1!D13)",11,"(Sheet1!D2),(Sheet1!D3),(Sheet1!D4),(Sheet1!D5),(Sheet1!D6),(Sheet1!D7),(Sheet1!D8),(Sheet1!D9),(Sheet1!D10),(Sheet1!D11)",10,"(Sheet1!F2,Sheet1!D14),(Sheet1!F3,Sheet1!D14),(Sheet1!D14,Sheet1!F4),(Sheet1!D14,Sheet1!F5),(Sheet1!D14,Sheet1!F6),(Sheet1!D14,Sheet1!F7),(Sheet1!D14,Sheet1!F8),(Sheet1!D14,Sheet1!F9),(Sheet1!F10,Sheet1!D14),(Sheet1!F11,Sheet1!D14)",10,"(Sheet1!D12,Sheet1!D14,Sheet1!D13),(Sheet1!D14,Sheet1!D13,Sheet1!H2),(Sheet1!D14,Sheet1!D13,Sheet1!H3),(Sheet1!D14,Sheet1!D13,Sheet1!H4),(Sheet1!D14,Sheet1!D13,Sheet1!H5),(Sheet1!D14,Sheet1!H6,Sheet1!D13),(Sheet1!D14,Sheet1!D13,Sheet1!H7),(Sheet1!D14,Sheet1!D13,Sheet1!H8),(Sheet1!D14,Sheet1!D13,Sheet1!H9),(Sheet1!H10,Sheet1!D14,Sheet1!D13),(Sheet1!H11,Sheet1!D14,Sheet1!D13)",11,152,31,31,TRUE,TRUE,TRUE,TRUE,TRUE,919,9592,28775,31,25,44,37,36,28,3,0,1,
